[02:48:29] === 2AbGRmWy 高密度崩盘取证监控启动 ===
[02:48:30] 基线: 价格$0.00064757 流动性$56,921
[06:48:13] 价格$0.00097660  流动性$69,936(峰值$70,667)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:49:14] 价格$0.00097660  流动性$69,936(峰值$70,667)  已存档300笔逐笔
[06:50:15] 价格$0.00097954  流动性$69,851(峰值$70,667)  已存档300笔逐笔
[06:51:16] 价格$0.00097917  流动性$70,208(峰值$70,667)  已存档300笔逐笔
[06:52:17] 价格$0.00099094  流动性$70,431(峰值$70,667)  已存档300笔逐笔
[06:53:18] 价格$0.00099094  流动性$70,431(峰值$70,667)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:54:19] 价格$0.00099170  流动性$70,412(峰值$70,667)  已存档300笔逐笔
[06:55:20] 价格$0.00098934  流动性$70,517(峰值$70,667)  已存档300笔逐笔
[06:56:22] 价格$0.00098991  流动性$70,378(峰值$70,667)  已存档300笔逐笔
[06:57:23] 价格$0.00098991  流动性$70,378(峰值$70,667)  已存档300笔逐笔
[06:58:24] 价格$0.00099686  流动性$70,677(峰值$70,677)  已存档300笔逐笔  操盘方卖出比例=86.0%
[06:59:25] 价格$0.00098551  流动性$70,462(峰值$70,677)  已存档300笔逐笔
[07:00:26] 价格$0.00098312  流动性$70,561(峰值$70,677)  已存档300笔逐笔
[07:01:27] 价格$0.00098945  流动性$70,619(峰值$70,677)  已存档300笔逐笔
[07:02:28] 价格$0.00098945  流动性$70,619(峰值$70,677)  已存档300笔逐笔
[07:03:30] 价格$0.00099313  流动性$70,689(峰值$70,689)  已存档300笔逐笔  操盘方卖出比例=86.1%
[07:04:31] 价格$0.00099313  流动性$70,689(峰值$70,689)  已存档300笔逐笔
[07:05:32] 价格$0.00099614  流动性$70,665(峰值$70,689)  已存档300笔逐笔
[07:06:33] 价格$0.00100513  流动性$70,966(峰值$70,966)  已存档300笔逐笔
[07:07:34] 价格$0.00100256  流动性$70,626(峰值$70,966)  已存档300笔逐笔
[07:08:35] 价格$0.00100256  流动性$70,626(峰值$70,966)  已存档300笔逐笔  操盘方卖出比例=86.0%
[07:09:37] 价格$0.00100425  流动性$70,940(峰值$70,966)  已存档300笔逐笔
[07:10:38] 价格$0.00100432  流动性$71,121(峰值$71,121)  已存档300笔逐笔
[07:11:39] 价格$0.00100570  流动性$71,001(峰值$71,121)  已存档300笔逐笔
[07:12:40] 价格$0.00100127  流动性$70,900(峰值$71,121)  已存档300笔逐笔
[07:13:42] 价格$0.00099877  流动性$70,904(峰值$71,121)  已存档300笔逐笔  操盘方卖出比例=86.0%
[07:14:43] 价格$0.00099522  流动性$70,440(峰值$71,121)  已存档300笔逐笔
[07:15:44] 价格$0.00099382  流动性$70,772(峰值$71,121)  已存档300笔逐笔
[07:16:45] 价格$0.00100307  流动性$70,749(峰值$71,121)  已存档300笔逐笔
[07:17:46] 价格$0.00100843  流动性$70,989(峰值$71,121)  已存档300笔逐笔
[07:18:48] 价格$0.00100741  流动性$71,054(峰值$71,121)  已存档300笔逐笔  操盘方卖出比例=86.0%
[07:19:49] 价格$0.00100741  流动性$71,054(峰值$71,121)  已存档300笔逐笔
[07:20:50] 价格$0.00100711  流动性$71,246(峰值$71,246)  已存档300笔逐笔
[07:21:51] 价格$0.00100711  流动性$71,246(峰值$71,246)  已存档300笔逐笔
[07:22:53] 价格$0.00103406  流动性$71,453(峰值$71,453)  已存档300笔逐笔
[07:23:54] 价格$0.00102921  流动性$72,071(峰值$72,071)  已存档300笔逐笔  操盘方卖出比例=86.0%
[07:24:56] 价格$0.00103114  流动性$71,750(峰值$72,071)  已存档300笔逐笔
[07:25:57] 价格$0.00103114  流动性$71,750(峰值$72,071)  已存档300笔逐笔
[07:26:58] 价格$0.00103580  流动性$71,832(峰值$72,071)  已存档300笔逐笔
[07:27:59] 价格$0.00103580  流动性$71,832(峰值$72,071)  已存档300笔逐笔
[07:29:01] 价格$0.00103681  流动性$72,129(峰值$72,129)  已存档300笔逐笔  操盘方卖出比例=85.9%
[07:30:02] 价格$0.00103604  流动性$72,182(峰值$72,182)  已存档300笔逐笔
[07:31:03] 价格$0.00103653  流动性$72,021(峰值$72,182)  已存档300笔逐笔
[07:32:05] 价格$0.00102394  流动性$71,939(峰值$72,182)  已存档300笔逐笔
[07:33:06] 价格$0.00102394  流动性$71,939(峰值$72,182)  已存档300笔逐笔
[07:34:07] 价格$0.00102665  流动性$71,974(峰值$72,182)  已存档300笔逐笔  操盘方卖出比例=85.9%
[07:35:09] 价格$0.00109475  流动性$74,220(峰值$74,220)  已存档300笔逐笔
